id,sentence,difficulty,cleaned_text
0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,cots kilomtriques rels peuvent diverger sensiblement valeurs moyennes fonction moyen transport utilis taux doccupation taux remplissage linfrastructure utilise topographie lignes flux trafic etc
1,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,bleu cest couleur prfre naime vert
2,Le test de niveau en français est sur le site Internet de l'école.,A1,test niveau franais site internet lcole
3,Est-ce que ton mari est aussi de Boston?,A1,estce mari aussi boston
4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,coles commerce couloirs places financires arrive aujourdhui croiser jeunes adultes ans prvoient douvrir maison dhtes quinzaine dannes
5,voilà une autre histoire que j'ai beaucoup aimée.,A2,voil autre histoire jai beaucoup aime
6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,mdecins disent souvent quon doit boire verre vin rouge aprs repas
7,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,particulirement observ chez personnes besoin popularit dvelopp considrent ds lors moindre signal smartphone comme possible indicateur degr popularit
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,jai retrouv plaisir manger oeuf coque
9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,allons bien habitons petite maison ancienne trs beau jardin
10,Bonjour et bonne année.,A1,bonjour bonne anne
11,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2,presse sest abondamment fait lcho effets secondaires ressentis soignants moins ans
12,"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1,rocher souvre faut toucher brin dherbe
13,J'habite une belle ville dans le nord de la France.,A1,jhabite belle ville nord france
14,"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2,certes doit rpondre gots consommateur aussi capacits portemonnaie
15,"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2,timidit quittait ds mloignais dellnore reprenais alors plans habiles profondes combinaisons peine retrouvaisje auprs delle sentais nouveau tremblant troubl
16,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2,pense frquenter galeries meilleure manire dduquer oeil lart contemporain
17,"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1,soir cuche tt parce dois tre toujours bonne forme
18,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2,mre raphal vanessa exprime satisfaction depuis enfants possdent portable a a libr ligne dclaretelle
19,Je ne fais pas grand-chose à la maison.,A2,fais grandchose maison
20,Elle ajoute qu'une interdiction totale est impossible à gérer.,B2,ajoute quune interdiction totale impossible grer
21,"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2,sans plus dhsitation tourna vers gauche sonnait terre durcie bruit cadenc monotone assoupissait berant tumulte esprit
22,"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2,comme signale lexpression lingua franca franais a pendant trs longtemps langue internationale gard rayonnement politique aussi bien culturel
23,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1,tai tlphon parce jai trop travail
24,C'est peut-être ça que vous cherchez ?,A2,cest peuttre a cherchez
25,"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2,questce peut bien poser problme petits livrets pourtant plutt attractifs seuls leurs dtenteurs arrivent bout
26,Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1,consulte dhabitude messagerie puis prends caf
27,Nous sommes en train de dîner.,A2,train dner
28,"En fait, je trouve que l'éducation est une bonne chose.",B1,fait trouve lducation bonne chose
29,As-tu besoin de quelque chose?,A1,astu besoin quelque chose
30,"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1,perptuel clandestin cest muni dun faux titre sjour photocopie carte rsident dun copaincomplice quil ensuite sillonn lhexagone bon vouloir demployeurs peu scrupuleux
31,"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",B2,mariage mixte apparat comme lieu privilgi cultures saffrontent dialoguent fondent
32,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2,assis terrasse quartier touristique vieux lyon james sirote limonade bien frache
33,"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2,chronologie antique prend sens large pourtour mditerrane mme dcoupage spatial nest pertinent comme entit gographique durant cette priode pendant laquelle mer intrieure nest vcue comme limite
34,"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",C2,voici moins obscurs plus devenons matres biosphre plus devenons dpendants plus dgradons plus dgradons vies
35,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2,cest dbut troubles poursuivent stendent reste territoire tout long mois septembre fameuses journes septembre amplifis refus guillaume er considrer revendications insurgs
36,Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,B2,filles staient fait colliers fruits rouges ressemblaient perles
37,Je reste avec toi.,A1,reste
38,Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2,revenu devient donc ncessit lhomme puisse accder satisfaction davoir combl dsirs
39,Tu mangeas les petits fruits dès que tu les eus cueillis,C2,mangeas petits fruits ds cueillis
40,"Ben, on est tous débordés quoi.",A1,ben tous dbords quoi
41,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,petit garon ben trois nid lautre yen a deux
42,J'ai été en forme toute la matinée.,A2,jai forme toute matine
43,"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2,lordinateur peut aussi rpondre interruptions permettent dexcuter programmes rponses spcifiques chacune puis reprendre lexcution squentielle programme interrompu
44,Il a plu et j'ai attendu l'autobus.,A2,a plu jai attendu lautobus
45,"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2,dautres cas sagit limites relatives bases taux croissance dmographique rfrence valables aussi uniquement hors centres pondres fonction degr centralit
46,C'est bien !,A1,cest bien
47,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2,moins dchets entreprises fait lobjet dune collecte slective
48,Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1,mdecins donneurs conseilleront volontiers tel cas renseigneront rapport dons sang
49,Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2,plus inquitant cest scandinavie dj battu records chaleur pendant lt
50,J'aime le ski.,A1,jaime ski
51,"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2,malheureusement semble dsormais vident quil ny a voie obtenir confirmation a crit neera tanden joe biden retirant candidature
52,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1,pourquoi loisillon retrouvetil seul fort
53,Elle est née quel jour ?,A1,quel jour
54,"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2,existe effectivement tres humains possdent quantit pouvoir importante contraignent lhumanit travailler crant cercle vicieux fait travail ncessit accder propres dsirs
55,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1,bouche cette expression fait rfrence quantit dun aliment quon met bouche fois
56,"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2,si respectait indications plus srieusement trouverais plus facilement chemin travers ruelles
57,"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2,aussitt julie dcouvert vrit furieuse
58,Pile au moment où on a le plus besoin de réconfort,A2,pile moment o a plus besoin rconfort
59,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1,train temps tait galement craint brigitte munier robots suscitent lenthousiasme occidentaux aussi angoisse lieu concevoir comme simples outils manire japonaise tels damicaux auxiliaires craignent comptiteurs menaant avenir
60,Je viens d'emménager dans ma nouvelle maison.,A2,viens demmnager nouvelle maison
61,"Et cette année, ça défile !",B1,cette anne a dfile
62,"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",C1,compte tenu cette configuration cette zone peu adapte mesures terrain limiter diffusion campagnols terrestres axes routiers reprsentant barrire trs forte cette espce peut aussi penser quun tel rsultat artfact coupure artificielle dune seule tache prairie
63,"Après mûre réflexion, la Commission européenne a eu une idée brillante: s'attaquer à un nouveau chantier, qui avait jusque-là bizarrement échappé à sa sagacité légendaire.",C1,aprs mre rflexion commission europenne a ide brillante sattaquer nouveau chantier jusquel bizarrement chapp sagacit lgendaire
64,"Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.",B1,lexprience tlvendeur peut devenir animateur dun ple tlvendeurs superviseur dquipe chef plateau
65,"Et toi, qu'est-ce que tu vas faire ?",A2,questce vas faire
66,Les valorisations boursières des sociétés Internet comme AMAZON,C2,valorisations boursires socits internet comme amazon
67,"Sur d'autres, on entendait une série de détonations, tandis que des contestataires scandaient: ""notre révolte doit réussir"".",C1,dautres entendait srie dtonations tandis contestataires scandaient rvolte doit russir
68,Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,C1,babyboomers convaincus tout peut recommencer ans
69,"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",B1,rien ntait si beau si leste si brillant si bien ordonn deux armes
70,Comment t'appelles-tu ?,A1,comment tappellestu
71,"Largué par la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Guérassimenko, une première de l'histoire spatiale.",B2,largu sonde europenne rosetta petit robot atterri mercredi fin daprsmidi noyau comte tchourioumovgurassimenko premire lhistoire spatiale
